1720	2095	5451	9935	2817
8437	471	409	5863	4521
263	5636	9946	3879	5865
778	8105	382	6059	4207
6489	5386	9328	7240	1505
5811	8186	2562	3424	4096
2133	4407	334	2006	8905
5439	4370	7468	4185	6214
9919	6275	5163	5333	8603
3288	5631	6535	5678	6029
6603	8794	3286	8631	1778
7791	6556	9175	4379	9400
6245	6531	3289	9621	5740
2268	8172	6819	2409	32
874	3927	9310	3088	9373
5697	3018	4632	1170	83
4058	2232	5406	654	2851
4853	8643	6503	4957	1449
3561	2639	3514	5079	807
1937	2814	9997	655	5950
6707	4137	7331	1023	4429
4420	5402	8505	9162	7249
4278	4467	5245	7887	6837
4791	1296	2381	7313	5381
3313	1203	3502	8856	3552
7467	5091	498	2766	3050
9180	440	316	7269	7509
2721	2710	4599	7022	8195
9937	3253	8983	7462	1336
8413	5183	256	9877	8010
8498	5351	6631	3414	3310
17	7464	2279	2656	4138
581	2887	9079	1882	1879
9974	174	8523	3969	9629
7031	2806	7731	3947	5193
1191	7879	4917	3546	1591
6194	1999	4914	9405	4204
9362	1891	1188	760	2434
2304	9503	3735	6242	4753
8826	8513	5164	5910	5086
6125	2396	8939	6582	4799
4049	2093	3773	7829	7819
2821	6669	4721	8642	431
3865	7567	5769	7348	6990
4153	2485	8640	3665	2357
3534	1018	9651	6644	5372
2970	3934	7556	2972	7779
2797	5172	469	2868	8216
6496	9260	7327	2802	8273
3267	1723	791	3210	73
1617	8520	2877	617	8793
7182	247	918	4829	6711
7288	3808	9784	1347	553
9604	850	1336	3664	2956
2176	33	348	5418	7906
4692	7203	1891	890	1691
3268	8106	1693	5083	7131
6219	1854	6305	3911	7372
2592	1201	1166	6655	9337
1866	544	1472	5301	1690
3867	6686	3916	2158	8786
5003	7465	8901	2627	6702
5316	3648	6445	692	1530
2772	6038	6792	4780	6856
3179	7946	6687	1633	6641
862	6207	5561	1668	8834
7376	9707	1886	5524	5440
3938	8433	6794	576	6797
9336	5700	5349	8858	8399
8239	888	7087	6193	4059
9755	8892	8962	4339	6749
2351	3485	772	8637	8029
123	2437	6622	8410	534
8518	9668	4279	4201	97
376	1910	9843	6855	6763
5233	6854	2282	4482	6647
1772	6427	9034	200	2078
1335	9476	444	4937	8525
4923	4526	7382	7827	7168
2551	3354	891	9156	6941
3360	3468	597	21	522
7185	5753	1659	8738	665
6344	8496	563	1653	9101
7183	7935	2689	7101	2649
3348	4324	9433	9313	4107
953	4474	7002	7759	1396
9870	639	2554	467	5518
7319	6552	8551	3541	7986
7710	223	5215	3274	455
6757	633	2497	8350	5108
1191	3682	7321	3236	5952
90	3112	3754	1513	5843
6782	554	2193	4235	2127
175	886	9833	7201	5156
6056	2316	8304	2084	5892
7576	4389	4440	416	5171
3139	6454	5130	2709	9984
8308	7786	7677	2224	8621
1684	3899	7182	3791	3022
5396	7258	6886	6649	2825
7831	756	8151	1319	8703
9899	2116	4837	220	4952
443	949	1503	5858	4687
3653	7731	5700	8221	254
970	2023	9430	6815	4442
5224	6572	1000	5974	5180
9880	4828	7657	7485	6424
3484	9663	189	2492	652
1295	7423	2576	3521	5593
7172	9613	6257	2305	192
354	851	7667	1901	4011
4562	9293	5849	3249	4481
391	6757	6549	4738	8857
4467	8044	1425	4305	3176
9096	8734	6986	1622	3388
2227	7110	4525	6195	3317
2399	2988	4985	2965	5858
5710	8022	4607	6878	2508
7535	1751	1503	1688	8885
656	958	8045	68	7731
7278	3416	431	3397	5404
7125	6330	93	4396	6519
4670	9712	334	4801	5212
4019	4115	2262	9246	3015
7317	6536	7859	6159	3283
3868	3902	2206	7953	6288
6354	741	629	9989	7166
700	7289	213	9572	2318
1278	6715	8882	9377	520
6396	3622	5893	1956	2695
5491	2628	1835	1784	3072
3958	7448	30	9277	4164
497	8702	374	566	9841
6994	296	8454	3904	4113
3803	6037	5988	5297	7509
4865	5808	9703	6392	8194
8799	9838	1157	2960	5654
9068	5262	5833	9386	3309
9178	9604	1787	6040	1493
8236	738	2767	1929	5063
9431	1285	7407	7760	9008
8224	8854	924	9880	2636
9471	9336	8505	3856	7428
4017	5887	5254	1520	7935
3129	6940	720	7329	1932
7335	777	7894	1568	3125
2680	2005	7734	8001	4256
6259	9521	6700	2967	6439
2878	4487	4555	44	1082
951	8696	3824	6166	2503
8628	8102	55	1122	33
8519	6866	3531	6155	9486
6802	5084	3887	5960	3997
4446	4882	8318	2488	7534
7644	458	8847	3434	1331
9795	7324	8205	9150	4631
2582	3873	4847	4389	4027
8543	8785	4627	1814	8070
5181	3536	8382	6078	8855
3128	8492	1401	4875	4684
2169	4656	7209	2508	4271
2960	8709	7934	7260	2416
295	2876	394	1177	5597
5146	250	3904	3021	4147
6286	5802	512	8850	5339
3952	904	8640	6528	7814
4238	3103	8803	6444	296
3784	8584	1864	4656	8739
1429	3240	8029	8720	9037
4363	4038	3961	5279	7675
4182	6	6469	9024	2964
5904	8230	1961	2133	1183
6109	7933	2587	9732	9559
9169	8176	9005	4835	1244
842	3941	1408	147	468
